Date,Product Name,Category,City,Country,Emissions Raw Materials per unit (kgCO₂e),Emissions Manufacturing per unit (kgCO₂e),Emissions Transport per unit (kgCO₂e),Total Emissions per unit (kgCO₂e),Quantity,Total Emissions (kgCO₂e)
2024-01-13,Polo Shirt,T-shirt,Nagoya,Japan,1.03,6.77,1.94,9.74,35,340.9
2020-03-02,Light Jacket,Jacket,Nice,France,4.81,2.7,1.47,8.98,13,116.74
2022-01-28,Polo Shirt,T-shirt,Hamburg,Germany,3.04,2.23,3.45,8.72,21,183.12
2020-07-18,Oversized Hoodie,T-shirt,Cologne,Germany,2.24,6.98,0.89,10.11,9,90.99
2023-03-23,Graphic T-shirt,T-shirt,Naples,Italy,3.55,2.56,1.13,7.24,20,144.8
2024-07-27,Denim Jacket,Jacket,Kyoto,Japan,3.56,4.26,3.68,11.5,27,310.5
2021-09-02,Oversized Hoodie,T-shirt,Berlin,Germany,4.72,4.15,0.99,9.86,18,177.48
2021-10-28,Polo Shirt,T-shirt,Osaka,Japan,4.22,3.8,1.52,9.54,1,9.54
2022-12-13,Bomber Jacket,Jacket,Florence,Italy,2.5,2.45,2.03,6.98,21,146.58
2024-01-28,Denim Jacket,Jacket,Berlin,Germany,3.74,5.48,1.32,10.54,37,389.98
2020-05-20,Wool Scarf,Accessories,Frankfurt,Germany,2.95,4.95,3.65,11.55,31,358.05
2022-07-19,Cargo Pants,Jeans,Munich,Germany,2.45,4.6,0.72,7.77,6,46.62
2023-03-31,Bomber Jacket,Jacket,Rome,Italy,1.82,2.09,1.33,5.24,4,20.96
2022-12-08,Ankle Boots,Shoes,Tokyo,Japan,3.84,4.63,1.94,10.41,17,176.97
2024-05-24,Ankle Boots,Shoes,Marseille,France,2.66,5.93,0.5,9.09,48,436.32
2021-11-24,Oversized Hoodie,T-shirt,Munich,Germany,4.78,4.66,0.7,10.14,26,263.64
2021-09-21,Leather Belt,Accessories,Frankfurt,Germany,1.62,4.74,3.29,9.65,22,212.3
2022-12-25,Light Jacket,Jacket,Osaka,Japan,1.57,3.33,1.76,6.66,2,13.32
2020-10-30,Leather Boots,Shoes,Bordeaux,France,4.95,2.69,1.4,9.04,37,334.48
2020-09-30,Light Jacket,Jacket,Florence,Italy,4.89,3.78,3.54,12.21,50,610.5
2022-04-21,Graphic T-shirt,T-shirt,Fukuoka,Japan,3.19,6.27,2.1,11.56,7,80.92
2023-01-22,Relaxed Fit Jeans,Jeans,Bordeaux,France,3.92,3.57,3.75,11.24,14,157.36
2021-06-19,Ankle Boots,Shoes,Naples,Italy,3.7,5.71,1.86,11.27,34,383.18
2023-08-05,Slim Fit Jeans,Jeans,Naples,Italy,4.17,4.41,2.85,11.43,14,160.02
2023-08-10,Polo Shirt,T-shirt,Paris,France,3.34,5.44,0.54,9.32,28,260.96
2020-02-14,Oversized Hoodie,T-shirt,Nagoya,Japan,1.42,2.37,0.93,4.72,32,151.04
2023-12-25,Leather Boots,Shoes,Nice,France,1.04,4.35,0.75,6.14,13,79.82
2023-05-09,Leather Boots,Shoes,Tokyo,Japan,1.85,3.7,3.68,9.23,28,258.44
2022-07-15,Chino Pants,Jeans,Munich,Germany,2.14,4.33,2.94,9.41,13,122.33
2024-06-22,Slim Fit Jeans,Jeans,Tokyo,Japan,3.29,4.55,2.93,10.77,17,183.09
2022-04-14,Basic T-shirt,T-shirt,Lyon,France,2.51,5.67,0.76,8.94,48,429.12
2022-12-25,Polo Shirt,T-shirt,Hamburg,Germany,2.2,6.97,2.07,11.24,32,359.68
2020-06-05,Leather Belt,Accessories,Hamburg,Germany,3.88,6.07,1.95,11.9,33,392.7
2024-06-18,Ankle Boots,Shoes,Nagoya,Japan,1.74,5.03,2.83,9.6,28,268.8
2020-03-23,Raincoat,Jacket,Munich,Germany,2.5,6.26,2.12,10.88,1,10.88
2021-01-23,Basic T-shirt,T-shirt,Nice,France,1.99,4.47,1.52,7.98,35,279.3
2020-09-02,Polo Shirt,T-shirt,Nice,France,2.9,6.48,3.49,12.87,48,617.76
2021-10-08,Ankle Boots,Shoes,Kyoto,Japan,4.02,4.97,2.93,11.92,36,429.12
2021-08-01,Canvas Sneakers,Shoes,Osaka,Japan,4.0,3.07,2.06,9.13,35,319.55
2024-08-03,Canvas Sneakers,Shoes,Osaka,Japan,1.86,2.31,3.05,7.22,39,281.58
2023-07-14,Baseball Cap,Accessories,Nagoya,Japan,1.7,5.81,2.89,10.4,29,301.6
2021-09-10,Polo Shirt,T-shirt,Venice,Italy,2.7,4.63,3.3,10.63,29,308.27
2023-04-15,Chino Pants,Jeans,Venice,Italy,4.58,5.56,0.66,10.8,50,540.0
2020-11-29,Basic T-shirt,T-shirt,Bordeaux,France,4.1,5.8,2.4,12.3,28,344.4
2024-02-16,Graphic T-shirt,T-shirt,Nagoya,Japan,3.89,5.28,1.59,10.76,24,258.24
2022-05-11,Baseball Cap,Accessories,Hamburg,Germany,2.9,2.11,2.08,7.09,43,304.87
2024-03-18,Slim Fit Jeans,Jeans,Milan,Italy,4.96,5.37,1.71,12.04,6,72.24
2024-09-29,Cargo Pants,Jeans,Milan,Italy,3.85,6.28,3.19,13.32,18,239.76
2022-08-09,Oversized Hoodie,T-shirt,Bordeaux,France,2.08,5.34,2.52,9.94,41,407.54
2024-03-14,Denim Jacket,Jacket,Tokyo,Japan,2.9,3.36,2.9,9.16,25,229.0
2022-07-23,Beanie,Accessories,Florence,Italy,2.66,3.38,2.05,8.09,23,186.07
2020-10-23,Bomber Jacket,Jacket,Cologne,Germany,1.44,3.63,3.69,8.76,2,17.52
2020-12-18,Oversized Hoodie,T-shirt,Bordeaux,France,3.71,3.44,3.97,11.12,9,100.08
2023-04-22,Canvas Sneakers,Shoes,Nice,France,4.56,3.13,3.66,11.35,17,192.95
2022-11-18,Canvas Sneakers,Shoes,Nice,France,2.28,2.78,1.39,6.45,45,290.25
2021-07-14,Denim Jacket,Jacket,Cologne,Germany,4.56,3.24,3.45,11.25,50,562.5
2022-09-21,Beanie,Accessories,Lyon,France,3.7,3.99,0.98,8.67,26,225.42
2024-01-06,Slim Fit Jeans,Jeans,Cologne,Germany,1.34,4.34,3.05,8.73,5,43.65
2020-09-22,Bomber Jacket,Jacket,Lyon,France,4.18,6.61,1.52,12.31,15,184.65
2024-02-04,Relaxed Fit Jeans,Jeans,Milan,Italy,2.56,2.04,3.98,8.58,17,145.86
2020-11-14,Relaxed Fit Jeans,Jeans,Tokyo,Japan,1.48,4.15,3.09,8.72,26,226.72
2023-08-23,Basic T-shirt,T-shirt,Paris,France,2.2,4.09,0.71,7.0,6,42.0
2022-05-25,Graphic T-shirt,T-shirt,Fukuoka,Japan,3.98,2.74,3.64,10.36,36,372.96
2021-03-23,Canvas Sneakers,Shoes,Kyoto,Japan,1.66,4.44,2.02,8.12,23,186.76
2020-04-06,Chino Pants,Jeans,Florence,Italy,4.7,3.79,1.61,10.1,44,444.4
2022-05-09,Wool Scarf,Accessories,Florence,Italy,1.14,6.97,3.31,11.42,44,502.48
2021-07-24,Beanie,Accessories,Paris,France,1.13,3.42,2.7,7.25,46,333.5
2024-10-22,Running Shoes,Shoes,Rome,Italy,2.05,5.75,1.09,8.89,44,391.16
2023-08-12,Cargo Pants,Jeans,Naples,Italy,2.15,4.56,2.44,9.15,8,73.2
2023-10-01,Baseball Cap,Accessories,Frankfurt,Germany,1.36,5.48,0.95,7.79,44,342.76
2022-11-06,Cargo Pants,Jeans,Tokyo,Japan,1.53,3.62,3.41,8.56,8,68.48
2023-05-26,Relaxed Fit Jeans,Jeans,Tokyo,Japan,2.88,3.46,3.14,9.48,10,94.8
2022-03-02,Running Shoes,Shoes,Fukuoka,Japan,2.06,4.72,2.64,9.42,11,103.62
2022-12-02,Canvas Sneakers,Shoes,Bordeaux,France,1.09,4.7,2.12,7.91,48,379.68
2024-12-23,Baseball Cap,Accessories,Kyoto,Japan,4.08,6.04,2.28,12.4,32,396.8
2023-07-21,Running Shoes,Shoes,Kyoto,Japan,4.37,2.53,3.56,10.46,49,512.54
2023-07-01,Beanie,Accessories,Berlin,Germany,3.28,5.96,0.81,10.05,7,70.35
2020-01-18,Wool Scarf,Accessories,Munich,Germany,4.47,3.77,0.61,8.85,4,35.4
2023-01-12,Baseball Cap,Accessories,Frankfurt,Germany,2.64,6.34,1.62,10.6,49,519.4
2024-09-21,Leather Boots,Shoes,Florence,Italy,4.92,2.64,2.15,9.71,33,320.43
2021-07-16,Leather Boots,Shoes,Bordeaux,France,2.73,4.58,1.96,9.27,27,250.29
2020-10-30,Wool Scarf,Accessories,Venice,Italy,3.21,3.48,0.83,7.52,13,97.76
2022-04-15,Leather Belt,Accessories,Kyoto,Japan,4.6,4.12,3.69,12.41,4,49.64
2022-12-27,Polo Shirt,T-shirt,Fukuoka,Japan,2.4,5.88,3.41,11.69,10,116.9
2022-04-27,Wool Scarf,Accessories,Bordeaux,France,1.79,4.28,0.89,6.96,31,215.76
2023-11-25,Wool Scarf,Accessories,Nice,France,3.42,6.0,0.85,10.27,32,328.64
2021-03-15,Oversized Hoodie,T-shirt,Tokyo,Japan,4.77,5.01,1.06,10.84,39,422.76
2022-08-21,Denim Jacket,Jacket,Marseille,France,1.64,5.86,1.23,8.73,12,104.76
2023-05-25,Ankle Boots,Shoes,Paris,France,4.17,4.78,3.84,12.79,45,575.55
2022-07-12,Bomber Jacket,Jacket,Kyoto,Japan,2.96,4.31,2.25,9.52,4,38.08
2022-10-29,Polo Shirt,T-shirt,Berlin,Germany,2.54,4.62,2.73,9.89,45,445.05
2020-10-03,Denim Jacket,Jacket,Lyon,France,4.99,6.04,3.43,14.46,40,578.4
2022-10-08,Denim Jacket,Jacket,Tokyo,Japan,4.73,2.71,1.11,8.55,8,68.4
2020-09-18,Wool Scarf,Accessories,Venice,Italy,1.71,5.2,1.23,8.14,15,122.1
2020-06-29,Graphic T-shirt,T-shirt,Kyoto,Japan,4.1,5.47,3.72,13.29,37,491.73
2020-12-18,Leather Boots,Shoes,Florence,Italy,4.16,2.42,2.2,8.78,37,324.86
2021-02-12,Ankle Boots,Shoes,Osaka,Japan,3.19,3.97,2.74,9.9,43,425.7
2024-12-16,Canvas Sneakers,Shoes,Nice,France,2.7,6.78,2.26,11.74,21,246.54
2020-01-09,Baseball Cap,Accessories,Milan,Italy,3.75,4.35,2.17,10.27,40,410.8
2021-03-27,Leather Boots,Shoes,Naples,Italy,3.68,2.99,0.62,7.29,18,131.22
2023-10-26,Wool Scarf,Accessories,Berlin,Germany,4.73,5.05,0.99,10.77,39,420.03
2024-01-12,Cargo Pants,Jeans,Osaka,Japan,1.87,6.51,2.05,10.43,2,20.86
2020-09-06,Oversized Hoodie,T-shirt,Berlin,Germany,5.0,2.31,2.98,10.29,9,92.61
2020-08-20,Bomber Jacket,Jacket,Bordeaux,France,3.67,3.43,3.21,10.31,44,453.64
2023-03-21,Oversized Hoodie,T-shirt,Rome,Italy,3.28,5.88,3.78,12.94,5,64.7
2020-07-07,Baseball Cap,Accessories,Florence,Italy,1.61,5.01,3.62,10.24,21,215.04
2021-05-24,Polo Shirt,T-shirt,Bordeaux,France,4.51,5.3,2.66,12.47,4,49.88
2022-01-10,Slim Fit Jeans,Jeans,Milan,Italy,4.61,6.2,0.76,11.57,9,104.13
2022-03-28,Leather Boots,Shoes,Munich,Germany,4.42,5.33,3.36,13.11,7,91.77
2023-10-23,Wool Scarf,Accessories,Berlin,Germany,4.51,2.66,1.38,8.55,1,8.55
2022-11-21,Relaxed Fit Jeans,Jeans,Berlin,Germany,1.83,6.29,1.68,9.8,23,225.4
2024-07-03,Leather Belt,Accessories,Venice,Italy,2.11,6.51,1.2,9.82,18,176.76
2022-04-09,Ankle Boots,Shoes,Naples,Italy,3.74,2.79,0.78,7.31,40,292.4
2024-01-25,Beanie,Accessories,Osaka,Japan,1.46,4.25,1.67,7.38,37,273.06
2022-05-07,Cargo Pants,Jeans,Kyoto,Japan,4.69,7.0,3.67,15.36,20,307.2
2021-03-25,Chino Pants,Jeans,Nice,France,1.22,4.04,3.67,8.93,9,80.37
2020-04-20,Polo Shirt,T-shirt,Fukuoka,Japan,3.85,3.01,3.54,10.4,8,83.2
2020-12-24,Running Shoes,Shoes,Marseille,France,4.61,4.28,3.61,12.5,28,350.0
2021-07-16,Basic T-shirt,T-shirt,Kyoto,Japan,1.09,5.5,3.99,10.58,17,179.86
2023-01-08,Polo Shirt,T-shirt,Bordeaux,France,2.18,3.55,1.04,6.77,17,115.09
2022-08-27,Cargo Pants,Jeans,Venice,Italy,1.21,3.44,3.18,7.83,46,360.18
2020-07-31,Slim Fit Jeans,Jeans,Munich,Germany,1.1,3.58,3.46,8.14,42,341.88
2023-01-19,Chino Pants,Jeans,Munich,Germany,2.01,3.17,3.25,8.43,36,303.48
2024-09-24,Ankle Boots,Shoes,Osaka,Japan,4.88,6.24,2.23,13.35,2,26.7
2023-06-21,Raincoat,Jacket,Nice,France,1.77,2.39,1.5,5.66,44,249.04
2020-09-27,Slim Fit Jeans,Jeans,Venice,Italy,1.12,6.22,1.05,8.39,38,318.82
2020-10-17,Beanie,Accessories,Lyon,France,3.72,3.22,2.66,9.6,50,480.0
2021-11-18,Baseball Cap,Accessories,Munich,Germany,4.69,2.02,3.35,10.06,11,110.66
2020-11-14,Raincoat,Jacket,Hamburg,Germany,3.27,5.26,1.1,9.63,26,250.38
2020-08-29,Bomber Jacket,Jacket,Fukuoka,Japan,4.26,2.4,1.31,7.97,18,143.46
2021-08-27,Basic T-shirt,T-shirt,Fukuoka,Japan,4.3,3.49,0.98,8.77,35,306.95
2020-01-20,Cargo Pants,Jeans,Venice,Italy,2.21,3.49,3.77,9.47,48,454.56
2023-02-24,Raincoat,Jacket,Florence,Italy,3.14,2.6,2.33,8.07,2,16.14
2024-05-14,Leather Belt,Accessories,Cologne,Germany,4.09,3.04,1.9,9.03,44,397.32
2022-05-14,Oversized Hoodie,T-shirt,Bordeaux,France,4.01,2.15,3.34,9.5,27,256.5
2022-04-11,Raincoat,Jacket,Fukuoka,Japan,2.91,5.21,3.57,11.69,4,46.76
2020-07-22,Graphic T-shirt,T-shirt,Tokyo,Japan,3.78,4.34,1.13,9.25,42,388.5
2023-12-13,Graphic T-shirt,T-shirt,Milan,Italy,2.91,6.36,3.51,12.78,8,102.24
2023-04-17,Polo Shirt,T-shirt,Venice,Italy,1.8,5.69,2.37,9.86,33,325.38
2024-04-12,Chino Pants,Jeans,Munich,Germany,1.91,4.16,3.64,9.71,18,174.78
2024-05-22,Oversized Hoodie,T-shirt,Nagoya,Japan,1.79,3.82,1.3,6.91,31,214.21
2024-08-05,Leather Belt,Accessories,Marseille,France,1.98,2.57,1.77,6.32,16,101.12
2020-08-04,Oversized Hoodie,T-shirt,Kyoto,Japan,3.78,3.06,1.66,8.5,11,93.5
2020-08-26,Denim Jacket,Jacket,Rome,Italy,2.63,4.21,2.11,8.95,28,250.6
2024-12-06,Wool Scarf,Accessories,Munich,Germany,3.63,5.73,2.79,12.15,43,522.45
2023-07-05,Leather Belt,Accessories,Rome,Italy,2.8,2.2,3.95,8.95,28,250.6
2022-04-29,Oversized Hoodie,T-shirt,Hamburg,Germany,3.73,2.65,3.76,10.14,19,192.66
2024-03-24,Raincoat,Jacket,Berlin,Germany,4.03,2.54,3.16,9.73,45,437.85
2021-05-02,Polo Shirt,T-shirt,Fukuoka,Japan,2.66,3.0,0.86,6.52,10,65.2
2020-04-24,Relaxed Fit Jeans,Jeans,Berlin,Germany,1.02,5.69,1.28,7.99,33,263.67
2020-12-18,Beanie,Accessories,Kyoto,Japan,4.76,5.59,3.42,13.77,22,302.94
2024-03-31,Ankle Boots,Shoes,Florence,Italy,1.78,6.92,1.58,10.28,2,20.56
2022-09-10,Cargo Pants,Jeans,Lyon,France,4.12,6.88,1.31,12.31,41,504.71
2024-09-03,Cargo Pants,Jeans,Paris,France,1.11,6.46,1.37,8.94,46,411.24
2021-04-11,Leather Boots,Shoes,Florence,Italy,2.11,2.91,2.83,7.85,22,172.7
2021-11-04,Raincoat,Jacket,Marseille,France,1.46,2.07,3.05,6.58,48,315.84
2022-08-22,Beanie,Accessories,Munich,Germany,1.62,4.83,1.86,8.31,42,349.02
2024-05-02,Canvas Sneakers,Shoes,Lyon,France,2.96,5.9,2.9,11.76,29,341.04
2022-03-27,Relaxed Fit Jeans,Jeans,Kyoto,Japan,1.45,3.13,1.73,6.31,37,233.47
2022-09-26,Bomber Jacket,Jacket,Bordeaux,France,1.33,2.86,2.0,6.19,10,61.9
2020-01-25,Canvas Sneakers,Shoes,Hamburg,Germany,3.99,4.0,1.73,9.72,7,68.04
2024-06-24,Slim Fit Jeans,Jeans,Milan,Italy,4.63,2.19,3.49,10.31,12,123.72
2022-07-28,Polo Shirt,T-shirt,Hamburg,Germany,2.82,6.25,2.51,11.58,19,220.02
2020-11-14,Polo Shirt,T-shirt,Venice,Italy,2.15,3.86,3.24,9.25,7,64.75
2021-06-05,Raincoat,Jacket,Milan,Italy,4.89,3.87,3.77,12.53,26,325.78
2024-07-18,Chino Pants,Jeans,Marseille,France,4.73,2.57,1.56,8.86,45,398.7
2022-03-11,Chino Pants,Jeans,Milan,Italy,2.09,5.35,3.16,10.6,16,169.6
2022-05-16,Light Jacket,Jacket,Paris,France,2.92,2.26,1.61,6.79,22,149.38
2023-09-18,Slim Fit Jeans,Jeans,Marseille,France,3.82,5.69,2.54,12.05,50,602.5
2023-01-03,Light Jacket,Jacket,Kyoto,Japan,3.25,4.56,1.1,8.91,12,106.92
2022-02-08,Basic T-shirt,T-shirt,Nagoya,Japan,1.16,3.28,1.6,6.04,33,199.32
2021-03-20,Leather Boots,Shoes,Cologne,Germany,3.96,5.06,1.97,10.99,3,32.97
2022-11-22,Polo Shirt,T-shirt,Lyon,France,3.26,5.04,0.95,9.25,45,416.25
2023-06-07,Slim Fit Jeans,Jeans,Kyoto,Japan,2.03,5.51,1.48,9.02,16,144.32
2022-03-26,Relaxed Fit Jeans,Jeans,Frankfurt,Germany,4.5,4.27,1.99,10.76,37,398.12
2023-08-11,Cargo Pants,Jeans,Rome,Italy,1.58,4.55,1.0,7.13,6,42.78
2023-02-20,Beanie,Accessories,Florence,Italy,1.15,4.54,3.12,8.81,3,26.43
2022-11-27,Basic T-shirt,T-shirt,Marseille,France,4.42,4.59,3.04,12.05,2,24.1
2024-10-25,Raincoat,Jacket,Nice,France,2.55,5.45,3.06,11.06,18,199.08
2024-01-20,Light Jacket,Jacket,Cologne,Germany,2.65,2.54,2.36,7.55,39,294.45
2020-09-29,Denim Jacket,Jacket,Kyoto,Japan,4.25,4.05,3.51,11.81,50,590.5
2022-12-31,Polo Shirt,T-shirt,Frankfurt,Germany,3.4,3.46,1.64,8.5,27,229.5
2023-02-08,Cargo Pants,Jeans,Paris,France,3.02,2.7,0.69,6.41,45,288.45
2022-03-07,Beanie,Accessories,Lyon,France,2.26,2.49,1.56,6.31,18,113.58
2022-01-07,Wool Scarf,Accessories,Venice,Italy,2.65,5.9,1.0,9.55,37,353.35
2021-07-26,Leather Belt,Accessories,Paris,France,4.9,4.48,3.91,13.29,6,79.74
2024-02-06,Denim Jacket,Jacket,Munich,Germany,1.25,3.83,2.7,7.78,10,77.8
2021-06-13,Wool Scarf,Accessories,Bordeaux,France,1.6,4.3,2.64,8.54,23,196.42
2022-02-25,Ankle Boots,Shoes,Bordeaux,France,3.72,4.49,2.44,10.65,30,319.5
2020-01-28,Bomber Jacket,Jacket,Venice,Italy,3.12,2.09,0.81,6.02,17,102.34
2021-04-07,Slim Fit Jeans,Jeans,Lyon,France,4.87,3.03,2.58,10.48,38,398.24
2023-01-05,Running Shoes,Shoes,Fukuoka,Japan,3.79,4.4,1.02,9.21,35,322.35
2022-05-29,Ankle Boots,Shoes,Marseille,France,4.42,6.53,0.96,11.91,9,107.19
2023-02-08,Cargo Pants,Jeans,Frankfurt,Germany,4.04,2.37,2.73,9.14,46,420.44
2021-02-05,Slim Fit Jeans,Jeans,Naples,Italy,3.78,3.56,1.38,8.72,10,87.2
2024-05-29,Basic T-shirt,T-shirt,Rome,Italy,2.44,6.66,1.92,11.02,48,528.96
2022-04-10,Canvas Sneakers,Shoes,Hamburg,Germany,2.9,3.84,3.93,10.67,44,469.48
2020-10-08,Leather Belt,Accessories,Nagoya,Japan,3.49,4.06,3.3,10.85,9,97.65
2023-10-09,Chino Pants,Jeans,Kyoto,Japan,3.8,3.25,3.64,10.69,5,53.45
2021-05-09,Bomber Jacket,Jacket,Hamburg,Germany,2.01,6.8,2.15,10.96,19,208.24
2021-02-18,Oversized Hoodie,T-shirt,Hamburg,Germany,1.19,4.65,2.23,8.07,48,387.36
2024-09-13,Leather Boots,Shoes,Paris,France,2.98,4.23,3.61,10.82,20,216.4
2023-12-23,Oversized Hoodie,T-shirt,Venice,Italy,3.78,6.77,1.03,11.58,32,370.56
2023-01-01,Slim Fit Jeans,Jeans,Nice,France,4.94,3.67,0.75,9.36,33,308.88
2024-08-21,Running Shoes,Shoes,Nice,France,3.21,4.94,1.78,9.93,46,456.78
2022-08-07,Baseball Cap,Accessories,Milan,Italy,4.17,5.13,1.57,10.87,40,434.8
2023-04-28,Leather Belt,Accessories,Florence,Italy,1.88,2.05,2.79,6.72,24,161.28
2024-03-25,Wool Scarf,Accessories,Frankfurt,Germany,2.43,6.16,2.2,10.79,40,431.6
2020-04-29,Denim Jacket,Jacket,Rome,Italy,2.57,6.09,2.0,10.66,11,117.26
2024-07-21,Relaxed Fit Jeans,Jeans,Venice,Italy,2.95,2.75,1.02,6.72,8,53.76
2024-10-14,Ankle Boots,Shoes,Cologne,Germany,3.94,2.61,3.25,9.8,16,156.8
2024-03-05,Polo Shirt,T-shirt,Lyon,France,4.57,2.72,2.7,9.99,33,329.67
2022-03-23,Running Shoes,Shoes,Florence,Italy,4.2,6.33,2.34,12.87,25,321.75
2023-09-15,Bomber Jacket,Jacket,Osaka,Japan,4.76,6.21,3.48,14.45,46,664.7
2023-03-30,Basic T-shirt,T-shirt,Bordeaux,France,1.76,3.99,2.75,8.5,46,391.0
2020-09-04,Ankle Boots,Shoes,Lyon,France,2.04,3.45,2.03,7.52,25,188.0
2023-09-19,Chino Pants,Jeans,Tokyo,Japan,1.86,6.75,1.62,10.23,40,409.2
2021-04-17,Graphic T-shirt,T-shirt,Bordeaux,France,4.25,3.23,3.39,10.87,41,445.67
2020-12-09,Polo Shirt,T-shirt,Kyoto,Japan,2.4,4.21,1.64,8.25,15,123.75
2024-10-17,Wool Scarf,Accessories,Cologne,Germany,3.72,3.39,2.86,9.97,50,498.5
2023-09-17,Cargo Pants,Jeans,Cologne,Germany,1.14,3.44,3.97,8.55,18,153.9
2022-10-08,Bomber Jacket,Jacket,Florence,Italy,3.35,5.01,3.07,11.43,12,137.16
2023-02-19,Raincoat,Jacket,Milan,Italy,1.07,6.79,1.67,9.53,49,466.97
2020-04-01,Running Shoes,Shoes,Tokyo,Japan,2.59,4.3,2.41,9.3,26,241.8
2024-08-12,Denim Jacket,Jacket,Kyoto,Japan,2.49,4.46,0.87,7.82,16,125.12
2020-07-11,Graphic T-shirt,T-shirt,Naples,Italy,4.55,6.59,3.62,14.76,28,413.28
2024-09-03,Running Shoes,Shoes,Frankfurt,Germany,4.93,6.63,2.13,13.69,12,164.28
2023-05-04,Running Shoes,Shoes,Osaka,Japan,1.94,3.57,1.21,6.72,33,221.76
2022-02-27,Oversized Hoodie,T-shirt,Osaka,Japan,4.46,6.52,1.71,12.69,13,164.97
2021-04-21,Ankle Boots,Shoes,Munich,Germany,3.59,5.5,3.61,12.7,49,622.3
2024-05-10,Denim Jacket,Jacket,Naples,Italy,3.46,2.31,2.09,7.86,4,31.44
2022-07-27,Leather Belt,Accessories,Rome,Italy,2.1,5.39,2.11,9.6,12,115.2
2024-12-30,Baseball Cap,Accessories,Venice,Italy,2.46,4.11,3.91,10.48,31,324.88
2020-03-29,Polo Shirt,T-shirt,Nagoya,Japan,1.9,6.7,1.64,10.24,5,51.2
2024-11-08,Cargo Pants,Jeans,Nagoya,Japan,3.67,4.73,2.93,11.33,6,67.98
2022-03-30,Ankle Boots,Shoes,Osaka,Japan,4.98,2.71,1.21,8.9,42,373.8
2021-09-09,Wool Scarf,Accessories,Hamburg,Germany,4.2,4.48,2.2,10.88,23,250.24
2022-08-21,Chino Pants,Jeans,Rome,Italy,2.27,4.72,2.22,9.21,31,285.51
2020-02-05,Baseball Cap,Accessories,Cologne,Germany,2.12,4.73,2.76,9.61,38,365.18
2024-03-13,Bomber Jacket,Jacket,Berlin,Germany,3.83,6.04,0.96,10.83,39,422.37
2023-04-21,Wool Scarf,Accessories,Kyoto,Japan,2.67,5.71,3.7,12.08,5,60.4
2024-11-06,Oversized Hoodie,T-shirt,Fukuoka,Japan,4.26,2.48,3.72,10.46,27,282.42
2022-03-11,Basic T-shirt,T-shirt,Osaka,Japan,3.23,6.74,0.51,10.48,37,387.76
2023-04-06,Graphic T-shirt,T-shirt,Florence,Italy,3.72,2.56,3.4,9.68,37,358.16
2022-12-20,Relaxed Fit Jeans,Jeans,Milan,Italy,1.33,3.65,2.87,7.85,22,172.7
2021-11-20,Chino Pants,Jeans,Munich,Germany,3.24,3.87,2.89,10.0,3,30.0
2023-07-29,Ankle Boots,Shoes,Munich,Germany,1.3,6.3,3.47,11.07,5,55.35
2022-09-20,Chino Pants,Jeans,Naples,Italy,3.59,3.5,3.22,10.31,29,298.99
2021-11-16,Chino Pants,Jeans,Osaka,Japan,4.73,3.99,2.41,11.13,1,11.13
2020-11-25,Oversized Hoodie,T-shirt,Berlin,Germany,1.53,5.02,1.85,8.4,14,117.6
2020-10-26,Bomber Jacket,Jacket,Nagoya,Japan,1.42,3.39,3.41,8.22,38,312.36
2020-08-08,Denim Jacket,Jacket,Hamburg,Germany,2.06,5.29,0.83,8.18,33,269.94
2022-05-11,Denim Jacket,Jacket,Munich,Germany,4.82,5.66,0.62,11.1,17,188.7
2023-05-31,Graphic T-shirt,T-shirt,Munich,Germany,4.52,3.69,1.07,9.28,46,426.88
2020-05-09,Wool Scarf,Accessories,Marseille,France,2.76,6.95,2.01,11.72,49,574.28
2022-03-24,Baseball Cap,Accessories,Kyoto,Japan,3.26,2.61,2.88,8.75,37,323.75
2024-05-28,Slim Fit Jeans,Jeans,Fukuoka,Japan,1.23,2.68,3.88,7.79,5,38.95
2023-12-22,Wool Scarf,Accessories,Paris,France,3.02,5.25,3.8,12.07,27,325.89
2020-06-19,Baseball Cap,Accessories,Venice,Italy,1.51,5.06,2.49,9.06,36,326.16
2024-01-27,Leather Boots,Shoes,Bordeaux,France,4.42,4.77,3.16,12.35,14,172.9
2020-07-21,Beanie,Accessories,Bordeaux,France,3.35,5.63,3.49,12.47,4,49.88
2024-02-19,Baseball Cap,Accessories,Osaka,Japan,4.7,6.16,1.24,12.1,14,169.4
2024-08-10,Slim Fit Jeans,Jeans,Kyoto,Japan,3.24,4.29,1.77,9.3,36,334.8
2021-10-08,Baseball Cap,Accessories,Berlin,Germany,3.53,4.66,3.92,12.11,34,411.74
2020-09-29,Raincoat,Jacket,Rome,Italy,4.58,5.55,3.4,13.53,24,324.72
2024-06-24,Basic T-shirt,T-shirt,Rome,Italy,2.07,6.68,0.59,9.34,21,196.14
2022-05-05,Chino Pants,Jeans,Paris,France,3.1,3.62,3.32,10.04,3,30.12
2023-12-18,Polo Shirt,T-shirt,Nagoya,Japan,4.43,6.13,3.42,13.98,28,391.44
2021-01-12,Leather Boots,Shoes,Lyon,France,1.98,3.28,3.59,8.85,8,70.8
2023-04-18,Ankle Boots,Shoes,Venice,Italy,2.87,6.33,2.42,11.62,33,383.46
2020-09-07,Raincoat,Jacket,Bordeaux,France,2.01,2.61,3.08,7.7,13,100.1
